"sp off"
"Total seconds"; "21"
"Final accuracy"; "0.98849"
"Seconds"; "1"; "2"; "3"; "4"; "5"; "6"; "7"; "8"; "9"; "10"; "11"; "12"; "13"; "14"; "15"; "16"; "17"; "18"; "19"; "20"; "21"
"Acurracy"; "0.318722"; "0.435074"; "0.459357"; "0.462399"; "0.484232"; "0.534189"; "0.549593"; "0.55051"; "0.571916"; "0.594157"; "0.701955"; "0.765881"; "0.783628"; "0.787931"; "0.806455"; "0.899191"; "0.938673"; "0.941925"; "0.949096"; "0.977561"; "0.98849"
"Precision"; "0.189571"; "0.278016"; "0.298208"; "0.300777"; "0.319537"; "0.364517"; "0.37901"; "0.379883"; "0.40057"; "0.422739"; "0.540912"; "0.620742"; "0.644394"; "0.65248"; "0.678207"; "0.819899"; "0.88774"; "0.893554"; "0.906499"; "0.959681"; "0.980895"
"Recall"; "1"; "1"; "0.999448"; "0.999453"; "0.999279"; "0.999368"; "0.999392"; "0.999393"; "0.999425"; "0.999416"; "0.999543"; "0.999602"; "0.999617"; "0.994353"; "0.994518"; "0.995461"; "0.995806"; "0.995833"; "0.995893"; "0.996119"; "0.996203"
"sp on"
"Total seconds"; "0"
"Final accuracy"; "7.41287e-43"
"Seconds"
"Acurracy"
"Precision"
"Recall"
